artist_id,song_id,danceability,duration_ms,energy,key,loudness,acousticness,instrumentalness,liveness,valence,tempo
5aYyPjAsLj7UzANzdupwnS,0BRHnOFm6sjxN1i9LJrUDu,0.494,175093.0,0.939,1.0,-3.127,0.00666,0.0,0.139,0.893,177.751
3hv9jJF3adDNsBSIQDqcjp,32OlwWuMpZ6b0aN2RZOeMS,0.856,269667.0,0.609,0.0,-7.223,0.00801,8.15e-05,0.0344,0.928,114.988
1Cs0zKBU1kc0i8ypK3B9ai,2w2lfwoTELQyN940qM7Nfd,0.466,203641.0,0.747,4.0,-4.838,0.417,9.76e-06,0.107,0.43,92.161
1Cs0zKBU1kc0i8ypK3B9ai,77TT8Xvx637TpzV8kKGkUw,0.599,245041.0,0.803,0.0,-3.641,0.069,0.137,0.129,0.233,126.057
1Cs0zKBU1kc0i8ypK3B9ai,6PtXobrqImYfnpIxNsJApa,0.614,170625.0,0.972,5.0,-3.927,0.00125,0.0186,0.328,0.411,127.966
3gggmBN0erstm3YJvEGe3t,13ulx15WFww4s0G1ajlNq6,0.729,213478.0,0.86,7.0,-5.012,0.131,0.0,0.181,0.668,95.016
137W8MRPWKqSmrBGDBFSop,7wqSzGeodspE3V6RBD5W8L,0.689,229526.0,0.481,10.0,-7.503,0.369,1.03e-06,0.0649,0.283,80.025
137W8MRPWKqSmrBGDBFSop,2kzRSiyignH8yzPTrWvyPo,0.653,191320.0,0.711,9.0,-6.454,0.109,0.0,0.443,0.769,160.048
3BmGtnKgCSGYIUhmivXKWX,7FC9Lng8iXU081lbigu8m8,0.49,198733.0,0.798,6.0,-3.66,0.0137,0.0,0.0627,0.479,149.109
3BmGtnKgCSGYIUhmivXKWX,3xrn9i8zhNZsTtcoWgQEAd,0.662,188960.0,0.741,0.0,-5.406,0.00165,0.0303,0.114,0.404,131.0
3BmGtnKgCSGYIUhmivXKWX,6D60klaHqbCl9ySc8VcRss,0.562,221947.0,0.939,0.0,-4.282,0.046,0.0,0.112,0.684,116.044
00FQb4jTyendYWaN8pK0wa,2nMeu6UenVvwUktBCpLMK9,0.307,236053.0,0.425,11.0,-8.924,0.271,3.09e-05,0.11,0.136,108.693
00FQb4jTyendYWaN8pK0wa,6PUIzlqotEmPuBfjbwYWOB,0.564,214912.0,0.811,1.0,-5.734,0.0153,8.72e-06,0.125,0.114,126.007
00FQb4jTyendYWaN8pK0wa,4PMdq7Q7xOFrY424ZelZEb,0.418,214574.0,0.86,2.0,-5.184,0.205,1.39e-05,0.0863,0.206,150.019
